"","id","name.wikitag","position","position.clean","start.date","end.date","landtag.state.abb","electoralperiod"
"HE.10","/wiki/Evelin_Sch%C3%B6nhut-Keil-he-13","/wiki/Evelin_Sch%C3%B6nhut-Keil","Landtagsvizepräsident/in","Landtagsvizepräsident/in",1991-04-05,1995-04-04,"he",13
"HE.11","/wiki/Dirk_Pfeil-he-13","/wiki/Dirk_Pfeil","Landtagsvizepräsident/in","Landtagsvizepräsident/in",1991-04-05,1995-04-04,"he",13
"HE.12","/wiki/Erika_Wagner_(Politikerin)-he-13","/wiki/Erika_Wagner_(Politikerin)","Landtagsvizepräsident/in","Landtagsvizepräsident/in",1991-04-05,1995-04-04,"he",13
"HE.13","/wiki/Hartmut_Nassauer-he-13","/wiki/Hartmut_Nassauer","Landtagsvizepräsident/in","Landtagsvizepräsident/in",1991-04-05,1994-07-13,"he",13
"HE.14","/wiki/Hermann_Schoppe-he-13","/wiki/Hermann_Schoppe","Landtagspräsident/in","Landtagspräsident/in",1994-07-14,1995-04-04,"he",13
"HE.15","/wiki/Klaus_Peter_M%C3%B6ller_(Politiker,_1937)-he-14","/wiki/Klaus_Peter_M%C3%B6ller_(Politiker,_1937)","Landtagspräsident/in","Landtagspräsident/in",1995-04-05,1999-04-06,"he",14
"HE.16","/wiki/Veronika_Winterstein-he-14","/wiki/Veronika_Winterstein","Landtagsvizepräsident/in","Landtagsvizepräsident/in",1995-04-05,1999-04-06,"he",14
"HE.17","/wiki/Karin_Schmidt_(Politikerin,_1939)-he-14","/wiki/Karin_Schmidt_(Politikerin,_1939)","Mitglied des Präsidiums","Andere Position",1995-04-05,1997-11-30,"he",14
"HE.18","/wiki/Bernd_Schleicher-he-14","/wiki/Bernd_Schleicher","Mitglied des Präsidiums","Andere Position",1995-04-05,1999-04-06,"he",14
"HE.19","/wiki/Kurt_Weidmann-he-14","/wiki/Kurt_Weidmann","Mitglied des Präsidiums","Andere Position",1995-04-05,1999-04-06,"he",14
"HE.20","/wiki/Priska_Hinz-he-14","/wiki/Priska_Hinz","Mitglied des Präsidiums","Andere Position",1995-04-05,1998-03-31,"he",14
"HE.21","/wiki/Dieter_Posch-he-14","/wiki/Dieter_Posch","Mitglied des Präsidiums","Andere Position",1995-04-05,1999-04-06,"he",14
"HE.22","/wiki/Klaus_Peter_M%C3%B6ller_(Politiker,_1937)-he-15","/wiki/Klaus_Peter_M%C3%B6ller_(Politiker,_1937)","Landtagspräsident/in","Landtagspräsident/in",1999-04-07,2003-04-04,"he",15
"HE.23","/wiki/Veronika_Winterstein-he-15","/wiki/Veronika_Winterstein","Landtagsvizepräsident/in","Landtagsvizepräsident/in",1999-04-07,2003-04-04,"he",15
"HE.24","/wiki/Martina_Leistenschneider-he-15","/wiki/Martina_Leistenschneider","Mitglied des Präsidiums","Andere Position",1999-04-07,2003-04-04,"he",15
